dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,00000000000000000626,good,100,0.1104085713605428,3.2295401487229802,2.9881398822369083
candidate,0000000000000000062a,bad,100,0.09440950975755402,2.1353553837142845,2.2948103717668906
candidate,0000000000000000062a,good,100,0.09309612354323779,2.029289153222113,1.9548235585946097
candidate,0000000000000000062f,bad,100,0.3447725410368728,0.7210064573732617,2.0608485849344294
candidate,0000000000000000062f,good,100,0.027795980604426413,0.4951063831670433,2.370547514244545
candidate,00000000000000000632,bad,100,0.04377815343883482,0.26516353423506994,1.0177512860226272
candidate,00000000000000000632,good,100,-0.16567605049835227,2.912326287924497,2.194792856657148
candidate,00000000000000000636,bad,100,0.07560574850424394,2.81350704648678,3.2998743320738853
candidate,00000000000000000636,good,100,-0.061896937174464484,2.5982634945895176,2.5214195722186474
candidate,0000000000000000063e,bad,100,0.21144130435652023,0.6780752353320263,2.12324544429164
candidate,0000000000000000063e,good,100,-0.2636484475885243,3.046764607381737,2.643546613088934
candidate,0000000000000000064a,bad,100,0.6501769798478173,0.08945219824643692,0.342383154603457
candidate,0000000000000000064a,good,100,0.5245959823862743,1.5232878560074867,2.699784908590461
candidate,0000000000000000064d,bad,100,0.5194729073253815,0.283753191163677,2.1293563587014903
candidate,0000000000000000064d,good,100,0.22196851032279463,1.521088511504625,2.3918370615133964
candidate,00000000000000000655,bad,100,0.059105099696002104,3.1113995503471186,2.633841485728465
candidate,00000000000000000655,good,100,0.19965591001456948,1.2984624211837013,2.098596817240058
candidate,00000000000000000694,bad,100,0.41623687776084567,0.1526527712199574,2.1170819428559127
candidate,00000000000000000694,good,100,0.18366397226586756,1.191553207463296,2.082511261629419
candidate,00000000000000000697,bad,100,0.0682127341697203,1.9249933968090573,2.3232736285660622
candidate,00000000000000000697,good,100,0.20258986272171178,2.0133381361166385,2.594336947204847
candidate,00000000000000000698,bad,100,0.03774249434775412,2.2601628238192872,2.4748447199651915
candidate,00000000000000000698,good,100,0.09770511948677633,0.7226940823104513,1.49312657637785
candidate,0000000000000000069d,bad,100,0.10487262093384893,2.613550898578257,2.342891916659226
candidate,0000000000000000069d,good,100,0.18225904797001263,1.2584684598779137,2.1775241146244864
candidate,000000000000000006a8,bad,100,0.45954093317108885,1.0701934875412422,2.3615731934697686
candidate,000000000000000006a8,good,100,0.18643976803451695,2.0945136150503334,2.6374874348191453
candidate,000000000000000006b4,bad,100,0.04968553409278167,3.3342714849495123,3.528135867313257
candidate,000000000000000006b4,good,100,0.34541249293292375,1.5785173795975493,1.8553756880613648
candidate,000000000000000006b7,bad,100,0.44259638274695096,0.4318770890931299,1.657133667599024
candidate,000000000000000006b7,good,100,0.079560464893317,3.0642884968395716,3.164709887183659
candidate,000000000000000006be,bad,100,0.2473667535309954,0.36847572533324563,1.9583251140302849
candidate,000000000000000006be,good,100,-0.019045686778781535,2.057152448862269,2.1699206544749927
candidate,000000000000000006c0,bad,100,0.9216065057699313,0.8908624378345142,1.0968519510128596
candidate,000000000000000006c0,good,100,0.2012622136441482,1.420466682066159,2.4195487216139537
candidate,000000000000000006cc,bad,100,0.12188024872874925,2.06353040731212,2.2400988791118737
candidate,000000000000000006cc,good,100,0.054652283074453155,1.8377614176287362,1.8791019219576304
candidate,000000000000000006ce,bad,100,0.30873464039742793,1.28489234689192,1.879558362068703
candidate,000000000000000006ce,good,100,0.41388364745099915,0.3317971908167354,2.314496729299321
candidate,000000000000000006d9,bad,100,0.08987213280542435,1.4568349966182892,1.9989598805017776
candidate,000000000000000006d9,good,100,-0.03096023019748848,2.7910456118146003,2.637957963792849
candidate,000000000000000006df,bad,100,0.4219862072728345,0.06975836137969259,2.2365435770405133
candidate,000000000000000006df,good,100,0.23175691605015966,0.779579411851769,2.2987904934469645
candidate,000000000000000006e3,bad,100,-0.12751277868003896,3.5027270555375436,3.674508784313121
candidate,000000000000000006e3,good,100,0.26704066710431984,1.3379940149390972,2.009696842523966
candidate,000000000000000006e5,bad,100,0.230200578237115,0.4947875225050201,2.7129914434706275
candidate,000000000000000006e5,good,100,0.12910730812980098,0.7597895716802142,1.998550755866767
